Access to clean fuels and technologies for cooking (% of population);EG.CFT.ACCS.ZS;Brazil;BRA;2018.0;
Access to clean fuels and technologies for cooking (% of population);EG.CFT.ACCS.ZS;China;CHN;2018.0;
Access to clean fuels and technologies for cooking (% of population);EG.CFT.ACCS.ZS;India;IND;2018.0;
Access to clean fuels and technologies for cooking (% of population);EG.CFT.ACCS.ZS;Russian Federation;RUS;2018.0;
Access to clean fuels and technologies for cooking (% of population);EG.CFT.ACCS.ZS;South Africa;ZAF;2018.0;
Access to electricity (% of population);EG.ELC.ACCS.ZS;Brazil;BRA;2018.0;100.0
Access to electricity (% of population);EG.ELC.ACCS.ZS;China;CHN;2018.0;100.0
Access to electricity (% of population);EG.ELC.ACCS.ZS;India;IND;2018.0;95.2358551025391
Access to electricity (% of population);EG.ELC.ACCS.ZS;Russian Federation;RUS;2018.0;100.0
Access to electricity (% of population);EG.ELC.ACCS.ZS;South Africa;ZAF;2018.0;91.2298736572266
Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;Brazil;BRA;2018.0;100.0
Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;China;CHN;2018.0;100.0
Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;India;IND;2018.0;92.9293349509066
Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;Russian Federation;RUS;2018.0;100.0
Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;South Africa;ZAF;2018.0;89.5988191888486
Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;Brazil;BRA;2018.0;100.0
Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;China;CHN;2018.0;100.0
Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;India;IND;2018.0;99.7072372436523
Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;Russian Federation;RUS;2018.0;99.7213363647461
Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;South Africa;ZAF;2018.0;92.0568923950195
Adjusted net enrollment rate, primary (% of primary school age children);SE.PRM.TENR;Brazil;BRA;2018.0;
Adjusted net enrollment rate, primary (% of primary school age children);SE.PRM.TENR;China;CHN;2018.0;
Adjusted net enrollment rate, primary (% of primary school age children);SE.PRM.TENR;India;IND;2018.0;
Adjusted net enrollment rate, primary (% of primary school age children);SE.PRM.TENR;Russian Federation;RUS;2018.0;
Adjusted net enrollment rate, primary (% of primary school age children);SE.PRM.TENR;South Africa;ZAF;2018.0;
