CountryName;CountryCode;CleanFuels;ElectricityRural;ElectricityUrban;SchoolEnrollment;Date
Brazil;BRA;;;;;1970.0;
China;CHN;;;;107.042167663574;1970.0;
India;IND;;;;;1970.0;
Russian Federation;RUS;;;;;1970.0;
South Africa;ZAF;;;;99.9897232055664;1970.0;
Brazil;BRA;;;;;1971.0;
China;CHN;;;;106.335830688477;1971.0;
India;IND;;;;78.5140380859375;1971.0;
Russian Federation;RUS;;;;104.592849731445;1971.0;
South Africa;ZAF;;;;;1971.0;
Brazil;BRA;;;;;1972.0;
China;CHN;;;;108.041511535645;1972.0;
India;IND;;;;79.2531890869141;1972.0;
Russian Federation;RUS;;;;101.434661865234;1972.0;
South Africa;ZAF;;;;;1972.0;
Brazil;BRA;;;;;1973.0;
China;CHN;;;;115.400749206543;1973.0;
India;IND;;;;82.3669509887695;1973.0;
Russian Federation;RUS;;;;99.9552764892578;1973.0;
South Africa;ZAF;;;;;1973.0;
Brazil;BRA;;;;;1974.0;
China;CHN;;;;119.114242553711;1974.0;
India;IND;;;;81.7698974609375;1974.0;
Russian Federation;RUS;;;;98.9964981079102;1974.0;
South Africa;ZAF;;;;;1974.0;
Brazil;BRA;;;;;1975.0;
China;CHN;;;;121.498756408691;1975.0;
India;IND;;;;82.6415176391602;1975.0;
Russian Federation;RUS;;;;98.9606170654297;1975.0;
South Africa;ZAF;;;;102.698738098145;1975.0;
Brazil;BRA;;;;;1976.0;
China;CHN;;;;121.553398132324;1976.0;
India;IND;;;;82.4943313598633;1976.0;
Russian Federation;RUS;;;;99.9915466308594;1976.0;
South Africa;ZAF;;;;;1976.0;
Brazil;BRA;;;;;1977.0;
China;CHN;;;;116.500968933105;1977.0;
India;IND;;;;85.0984802246094;1977.0;
Russian Federation;RUS;;;;101.931632995605;1977.0;
South Africa;ZAF;;;;91.1888122558594;1977.0;
Brazil;BRA;;;;;1978.0;
China;CHN;;;;110.612327575684;1978.0;
India;IND;;;;81.3053817749023;1978.0;
Russian Federation;RUS;;;;104.307182312012;1978.0;
South Africa;ZAF;;;;85.0642700195313;1978.0;
Brazil;BRA;;;;;1979.0;
China;CHN;;;;109.243301391602;1979.0;
India;IND;;;;81.080940246582;1979.0;
Russian Federation;RUS;;;;105.718902587891;1979.0;
South Africa;ZAF;;;;85.3638534545898;1979.0;
Brazil;BRA;;;;;1980.0;
China;CHN;;;;109.719367980957;1980.0;
India;IND;;;;82.4438629150391;1980.0;
Russian Federation;RUS;;;;105.795280456543;1980.0;
South Africa;ZAF;;;;;1980.0;
Brazil;BRA;;;;;1981.0;
China;CHN;;;;111.169990539551;1981.0;
India;IND;;;;84.0115966796875;1981.0;
Russian Federation;RUS;;;;102.977836608887;1981.0;
South Africa;ZAF;;;;84.9315567016602;1981.0;
Brazil;BRA;;;;;1982.0;
China;CHN;;;;110.75415802002;1982.0;
India;IND;;;;84.6588287353516;1982.0;
Russian Federation;RUS;;;;102.438179016113;1982.0;
South Africa;ZAF;;;;81.758903503418;1982.0;
Brazil;BRA;;;;;1983.0;
China;CHN;;;;110.778411865234;1983.0;
India;IND;;;;86.5699920654297;1983.0;
Russian Federation;RUS;;;;101.736907958984;1983.0;
South Africa;ZAF;;;;;1983.0;
Brazil;BRA;;;;;1984.0;
China;CHN;;;;111.586196899414;1984.0;
India;IND;;;;88.1475372314453;1984.0;
Russian Federation;RUS;;;;102.179382324219;1984.0;
South Africa;ZAF;;;;;1984.0;
Brazil;BRA;;;;;1985.0;
